ID,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak {TIMESTAMP},Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgDryAir],Minimum Outdoor Air Flow Rate [m3/s],Heat Gain Rate from DOAS [W]
14135,362.44,453.05,39.25,0.017,0.022,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.98,0.01233,-3.4,0.00285,0.003,0
14144,116.36,145.45,42.36,0.006,0.007,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01251,-3.4,0.00285,0.001,0
14153,100.6,125.75,32.08,0.005,0.006,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01182,-3.4,0.00285,0.001,0
14164,753.22,941.53,29.41,0.041,0.051,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01192,-3.4,0.00285,0.011,0
14175,599.88,749.85,24.84,0.029,0.036,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.98,0.01055,-3.4,0.00285,0.005,0
14199,328.51,410.64,42.91,0.018,0.022,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01282,-3.4,0.00285,0.003,0
14207,163.27,204.09,42.49,0.008,0.01,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01252,-3.4,0.00285,0.001,0
14218,65.23,81.53,16.28,0.004,0.004,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01064,-3.4,0.00285,0.002,0
14229,112.25,140.31,52.3,0.005,0.007,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01298,-3.4,0.00285,0,0
14236,223.39,279.24,62.2,0.012,0.015,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01355,-3.4,0.00285,0.002,0
14247,1791.73,2239.66,51.31,0.103,0.129,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,21,20.98,0.01332,-3.4,0.00285,0.008,0
12212,86.49,108.11,22.07,0.004,0.005,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01119,-3.4,0.00285,0.001,0
12219,219.72,274.65,44.11,0.012,0.015,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01324,-3.4,0.00285,0.002,0
12236,635,793.76,31.62,0.034,0.043,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01235,-3.4,0.00285,0.009,0
12286,543.57,679.46,38.22,0.026,0.032,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.98,0.01191,-3.4,0.00285,0.004,0
12306,112.49,140.62,29.07,0.005,0.007,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01201,-3.4,0.00285,0.001,0
12313,292.21,365.26,31.34,0.014,0.017,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,18,17.99,0.01202,-3.4,0.00285,0.003,0
12344,647.63,809.54,31.73,0.035,0.044,WINTER DESIGN DAY IN 20YO_WICK (01-01:31-12),44942,20,19.99,0.01205,-3.4,0.00285,0.009,0
